Microsoft adds RPG makers InXile and Obsidian to Xbox developer stable	2018-11-11	282	TechCrunch	Microsoft is continuing to invest in a broad spectrum of developers for its Xbox gaming ecosystem with the acquisition of Obsidian and InXile, makers of complex RPGs primarily aimed at PC users. The two studios will join four others snatched up in June, signi… [+2174 chars]
X018: All the announcements from Xbox One showcase	2018-11-11	282	Polygon	Keyboard-mouse Xbox One support for Fortnite and Warframe, a Crackdown 3 launch date, and updates for PlayerUnknowns Battlegrounds, Sea of Thieves and Xbox Game Pass highlighted the announcements from the Xbox One s showcase today in Mexico City. Microsoft al… [+180 chars]
Apple's new bootloader won't let you install GNU/Linux	2018-11-11	282	Boingboing.net	Locking bootloaders with trusted computing is an important step towards protecting users from some of the most devastating malware attacks: by allowing the user to verify their computing environment, trusted computing can prevent compromises to operating syst… [+4155 chars]
SAP is buying Utah-based startup Qualtrics for $8 billion — days before it's scheduled to IPO (SAP)	2018-11-11	282	Business Insider	SAP, the German database giant, has announced an $8 billion all-cash deal to acquire Utah-based Qualtrics, a startup last privately valued at $2.5 billion. Notably, Qualtrics was scheduled to hold its IPO this week — an offering that could have valued the com… [+781 chars]
Phil Spencer promises to fix Microsoft Store for PC games	2018-11-11	282	Windowscentral.com	It's no secret that the Microsoft Store is difficult to navigate on Windows 10. You can't find games that easily and even updating games is quite a chore. Due to this and many other annoyances, a lot of people don't like using it. Luckily, it seems like Head … [+1290 chars]
"Yves St Laurent sells a $800 ""golden brass"" penis pendant"	2018-11-11	282	Boingboing.net	In the video above, the always-fascinating Paola Antonelli, architecture and design curator at New York’s Museum of Modern Art, takes us through the history of the hoodie, “a humble masterpiece,” beginning in ancient Greece and Rome. Clothing brand Supreme an… [+1649 chars]
Security chips have not reduced US credit-card fraud	2018-11-11	282	Boingboing.net	The US credit card industry was a very late adopter of security chips, lagging the EU by a decade or so; when they did roll out chips, it was a shambolic affair, with many payment terminals still not using the chips, and almost no terminals requiring a PIN (a… [+3570 chars]
Write with a pen, save your notes online with this futuristic notebook	2018-11-11	282	Boingboing.net	Note-taking just caught up to the digital age. For most of us, writing freehand is quicker and more convenient than pecking away on a tablet, but what to do when you need those scribbles on file? Grab a Rocketbook Everlast Reusable Notebook, which seamlessly … [+2677 chars]
Crackdown 3 release date announced	2018-11-11	282	Rockpapershotgun.com	Open-world destruct em up Crackdown 3 will launch on February 15th, say Microsoft, and theyve shown off a fancy new multiplayer gameplay trailer, too. The mode will feature two teams of five players facing off and blowing things up, as you can see below: The … [+851 chars]
Microsoft XO18 roundup: Microsoft acquires game studios InXile and Obsidian, announces 91M+ MAUs for Minecraft, and says Minecraft Marketplace has 77 partners (Dean Takahashi/VentureBeat)	2018-11-11	282	Techmeme.com	Null
Microsoft reveals Crackdown 3 will launch on February 15th, 2019	2018-11-10	400	The Verge	Microsoft is revealing a new Crackdown 3 release date today. The open-world crimefighting game has been delayed multiple times, and was originally supposed to arrive on November 7th, 2017. Microsoft pushed that release date to the second or third quarter of 2… [+1367 chars]
Xbox One X will sell for $400 in week-long Black Friday sale	2018-11-10	400	Engadget	Microsoft is also promising deals on several games between November 22nd and November 30th, including Forza Horizon 4 (up to 35 percent off), Forza Motorsport 7 (as much as 50 percent off), PUBG (35 percent off) and Sea of Thieves (50 percent off). It's not s… [+453 chars]
T-Mobile's internet TV box revealed in an FCC filing	2018-11-10	400	Engadget	While Microsoft has given up on its middle-man HDMI dreams for the Xbox One, T-Mobile will give it a try with this box based on tech it acquired along with Layer3 last year. There's still no indication of what the service will actually be like, but there's no… [+423 chars]
Microsoft buys two more video game studios	2018-11-10	400	The Guardian (AU)	In a broadcast from its Xbox Fanfest event this weekend, Microsoft announced the acquisition of two new video game studios: inXile Entertainment and Obsidian Entertainment. Both studios are headquartered in California, and both specialise in role-playing game… [+1447 chars]
Microsoft Launches Free AV1 Video Codec For Windows 10	2018-11-10	400	Slashdot.org	"Microsoft has released a free AV1 video codec for Windows 10 devices that's available via the Microsoft Store. ""Play AV1 videos on your Windows 10 device. This extension is an early beta version of the AV1 software decoder that lets you play videos that have … [+919 chars]"
Microsoft absorbs RPG developers Obsidian and inXile	2018-11-10	400	The Next Web	Microsoft today announced the acquisition of two heavy-hitters in the RPG gaming world, namely inXile Entertainment and Obsidian Entertainment. And there was much rejoicing throughout every kingdom. The announcement came during the Redmond companys annual XO1… [+1234 chars]
Fortnite on Xbox One gets mouse and keyboard support Wednesday - CNET	2018-11-10	400	Cnet.com	Razer and Xbox are partnering up for a specialized keyboard and mouse. Xbox Microsoft revealed the timing for mouse and keyboard support for the Xbox One Saturday, announcing that it would launch Wednesday, Nov. 14, among its many other reveals during its X01… [+1391 chars]
Microsoft Announces It Will Acquire Two New Studios	2018-11-10	400	IGN	The first-party family continues to grow. By Brandin Tyrrel Today at X018, Microsoft announced its intent to acquire Obsidian Entertainment and inXile Entertainment. Obsidian Entertainment is best known as the developer of role-playing games like Fallout: New… [+870 chars]
Everything Microsoft announced at X018	2018-11-10	400	Windowscentral.com	"This weekend, Microsoft's X018 event took place in Mexico City. According to the company, ""X018 is a global celebration of all things Xbox."" The afternoon was filled with news, first looks, and plenty of surprises. What's even more impactful is that over 10,0… [+5985 chars]"
Xbox One Keyboard and Mouse Support Coming to Fortnite and More	2018-11-10	400	IGN	Fortnite will match keyboard and mouse Xbox players with each other. By Adam Bankhurst During Microsoft's Inside Xbox: X018 Special, Microsoft revealed that 14 games will be receiving mouse and keyboard support, including Fortnite. Announced back in September… [+651 chars]
The Morning After: An electric Harley-Davidson	2018-11-09	705	Engadget	The streaming fight is on in 2019. Disney's Netflix competitor has a name: Disney+ The new service will offer a number of exclusive original shows and movies as well including a Loki-centric Thor spinoff starring Tom Hiddleston, a reboot of the High School Mu… [+2196 chars]
'Crackdown' is available for free -- and playable on Xbox One	2018-11-09	705	Engadget	The original Crackdown was an early hit for Xbox 360 -- packed-in access to the Halo 3 beta didn't hurt -- and now Xbox players can revisit 2007 for the low, low cost of nothing. With no explanation or fanfare the game has had its digital price zeroed out, al… [+613 chars]
Following Google's Lead, Facebook Ends Mandatory Arbitration for Sexual Harassment Claims	2018-11-09	705	Gizmodo.com	With employee action creating creating pressure in the tech industry, Facebook has finally opted to end forced arbitration for employees seeking to file claims of sexual harassment. Where those cases would previously have been handled behind closed doors, all… [+1361 chars]
Microsoft's best Windows 10 customers bear the brunt of the latest license glitch	2018-11-09	705	Boingboing.net	Apple just had a really poor Q3 earnings report, with hardware sales falling off as people figure out that they just don't need to get a new phone every year or so; writing in Bloomberg, Leonid Bershidsky tries to soothe investors by pointing out that Apple i… [+1539 chars]
